Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
18,0,IFNg,HighExprLowAffinity,0.5,HighExpr,LowAffinity,4,11,1,h,ng/mL
44,0,IFNg,HighExprLowAffinity,0.5,HighExpr,LowAffinity,4,11,1,h,ng/mL
68,0,IFNg,HighExprLowAffinity,0.5,HighExpr,LowAffinity,4,11,1,h,ng/mL
94,25.312488333,IFNg,HighExprLowAffinity,0.5,HighExpr,LowAffinity,4,11,0,h,ng/mL
18,0,IFNg,HighExprLowAffinity,5,HighExpr,LowAffinity,4,12,1,h,ng/mL
44,0,IFNg,HighExprLowAffinity,5,HighExpr,LowAffinity,4,12,1,h,ng/mL
68,0,IFNg,HighExprLowAffinity,5,HighExpr,LowAffinity,4,12,1,h,ng/mL
94,126.04293333,IFNg,HighExprLowAffinity,5,HighExpr,LowAffinity,4,12,0,h,ng/mL
18,0,IFNg,HighExprLowAffinity,50,HighExpr,LowAffinity,4,13,1,h,ng/mL
44,0,IFNg,HighExprLowAffinity,50,HighExpr,LowAffinity,4,13,1,h,ng/mL
68,71.71025,IFNg,HighExprLowAffinity,50,HighExpr,LowAffinity,4,13,0,h,ng/mL
94,430.5386,IFNg,HighExprLowAffinity,50,HighExpr,LowAffinity,4,13,0,h,ng/mL
18,0,IFNg,HighExprLowAffinity,500,HighExpr,LowAffinity,4,14,1,h,ng/mL
44,112.61384667,IFNg,HighExprLowAffinity,500,HighExpr,LowAffinity,4,14,0,h,ng/mL
68,304.10293333,IFNg,HighExprLowAffinity,500,HighExpr,LowAffinity,4,14,0,h,ng/mL
94,1212.6485667,IFNg,HighExprLowAffinity,500,HighExpr,LowAffinity,4,14,0,h,ng/mL
18,0,IFNg,HighExprLowAffinity,5000,HighExpr,LowAffinity,4,15,1,h,ng/mL
44,256.35466667,IFNg,HighExprLowAffinity,5000,HighExpr,LowAffinity,4,15,0,h,ng/mL
68,1194.7833667,IFNg,HighExprLowAffinity,5000,HighExpr,LowAffinity,4,15,0,h,ng/mL
94,2615.8186667,IFNg,HighExprLowAffinity,5000,HighExpr,LowAffinity,4,15,0,h,ng/mL
18,0,IFNg,HighExprLowAffinity,50000,HighExpr,LowAffinity,4,16,1,h,ng/mL
44,371.83463333,IFNg,HighExprLowAffinity,50000,HighExpr,LowAffinity,4,16,0,h,ng/mL
68,1532.9903333,IFNg,HighExprLowAffinity,50000,HighExpr,LowAffinity,4,16,0,h,ng/mL
94,3849.9563333,IFNg,HighExprLowAffinity,50000,HighExpr,LowAffinity,4,16,0,h,ng/mL
18,0,IL10,HighExprLowAffinity,0,HighExpr,LowAffinity,2,10,1,h,ng/mL
44,0,IL10,HighExprLowAffinity,0,HighExpr,LowAffinity,2,10,1,h,ng/mL
68,0,IL10,HighExprLowAffinity,0,HighExpr,LowAffinity,2,10,1,h,ng/mL
94,0,IL10,HighExprLowAffinity,0,HighExpr,LowAffinity,2,10,1,h,ng/mL
18,0,IL10,HighExprLowAffinity,0.5,HighExpr,LowAffinity,2,11,1,h,ng/mL
44,0,IL10,HighExprLowAffinity,0.5,HighExpr,LowAffinity,2,11,1,h,ng/mL
68,62.588883333,IL10,HighExprLowAffinity,0.5,HighExpr,LowAffinity,2,11,0,h,ng/mL
94,287.65136667,IL10,HighExprLowAffinity,0.5,HighExpr,LowAffinity,2,11,0,h,ng/mL
18,10.10155,IL10,HighExprLowAffinity,5,HighExpr,LowAffinity,2,12,0,h,ng/mL
44,23.259698333,IL10,HighExprLowAffinity,5,HighExpr,LowAffinity,2,12,0,h,ng/mL
68,18.623568333,IL10,HighExprLowAffinity,5,HighExpr,LowAffinity,2,12,0,h,ng/mL
94,375.7527,IL10,HighExprLowAffinity,5,HighExpr,LowAffinity,2,12,0,h,ng/mL
18,23.751903333,IL10,HighExprLowAffinity,50,HighExpr,LowAffinity,2,13,0,h,ng/mL
44,67.459236667,IL10,HighExprLowAffinity,50,HighExpr,LowAffinity,2,13,0,h,ng/mL
68,249.83266667,IL10,HighExprLowAffinity,50,HighExpr,LowAffinity,2,13,0,h,ng/mL
94,171.06505,IL10,HighExprLowAffinity,50,HighExpr,LowAffinity,2,13,0,h,ng/mL
